订单号,下单时间,订单金额,结算金额,京东券优惠,礼品卡优惠,优惠明细（A表示含有订单优惠，B表示只有单品优惠，C表示无优惠）,订单状态,订单类型,
8475797584,2015-02-12 12:35:37,2086.00,623.00,0.00,0.00,B【单品促销优惠（1071191979）：1463.00】,(删除)锁定,销售订单,
8474053860,2015-02-12 10:52:24,531.00,151.50,0.00,0.00,A【单品促销优惠（1031836841）：35.50】【单品促销优惠（1031268921）：63.00】【单品促销优惠（1031825822）：92.00】【单品促销优惠（1031808396）：139.00】【店铺优惠:50.00】,等待确认收货,销售订单,
8472848955,2015-02-12 10:45:40,316.00,158.00,0.00,0.00,B【单品促销优惠（1031180370）：158.00】,等待确认收货,销售订单,
8473221625,2015-02-12 10:14:07,158.00,58.00,0.00,0.00,B【单品促销优惠（1051105098）：100.00】,等待确认收货,销售订单,
8472915969,2015-02-12 09:58:06,536.00,226.00,0.00,0.00,A【单品促销优惠（1234083810）：260.00】【店铺优惠:50.00】,完成,销售订单,
8472696476,2015-02-12 09:35:56,463.00,153.00,0.00,0.00,A【店铺优惠:50.00】【单品促销优惠（1038291460）：89.00】【单品促销优惠（1178530987）：60.00】【单品促销优惠（1031827952）：111.00】,等待确认收货,销售订单,
8472636788,2015-02-12 09:32:19,579.00,155.80,0.00,0.00,A【单品促销优惠（1031827952）：111.00】【店铺优惠:50.00】【单品促销优惠（1051105098）：50.00】【单品促销优惠（1248041946）：49.10】【单品促销优惠（1408491153）：24.10】【单品促销优惠（1031808396）：139.00】,等待确认收货,销售订单,
8471328374,2015-02-12 09:18:34,774.00,424.00,0.00,0.00,A【店铺优惠:50.00】【单品促销优惠（1060953916）：300.00】,等待确认收货,销售订单,
8471240059,2015-02-12 09:13:53,258.00,158.00,0.00,0.00,B【单品促销优惠（1060953916）：100.00】,完成,销售订单,
8471213882,2015-02-12 09:07:44,177.00,66.00,0.00,51.00,B【单品促销优惠（1031827952）：111.00】,等待确认收货,销售订单,
8471432877,2015-02-12 08:27:10,722.00,218.00,0.00,0.00,A【单品促销优惠（1051105098）：150.00】【店铺优惠:50.00】【单品促销优惠（1031180370）：79.00】【单品促销优惠（1031825822）：92.00】【单品促销优惠（1096260100）：133.00】,(删除)锁定,销售订单,
8463590850,2015-02-12 00:34:26,463.00,157.00,0.00,0.00,A【店铺优惠:50.00】【单品促销优惠（1031180370）：158.00】【单品促销优惠（1041750488）：98.00】,等待确认收货,销售订单,
8463240790,2015-02-12 00:13:01,864.00,267.00,0.00,0.00,A【单品促销优惠（1234083810）：129.00】【单品促销优惠（1071191979）：418.00】【店铺优惠:50.00】,等待确认收货,销售订单,
8463076769,2015-02-11 23:11:37,516.00,266.00,0.00,0.00,A【单品促销优惠（1060953916）：200.00】【店铺优惠:50.00】,等待确认收货,销售订单,
8461834504,2015-02-11 21:59:52,568.20,161.90,0.00,0.00,A【单品促销优惠（1213152357）：60.00】【单品促销优惠（1051105098）：50.00】【单品促销优惠（1181528621）：11.10】【单品促销优惠（1031808396）：139.00】【单品促销优惠（1213137693）：50.00】【单品促销优惠（1247973687）：46.20】【店铺优惠:50.00】,等待确认收货,销售订单,
8461568809,2015-02-11 21:54:31,298.00,89.00,0.00,0.00,B【单品促销优惠（1071191979）：209.00】,等待确认收货,销售订单,
8459675931,2015-02-11 21:06:58,387.00,156.00,0.00,0.00,A【店铺优惠:50.00】【单品促销优惠（1060953916）：100.00】【单品促销优惠（1323453413）：81.00】,完成,销售订单,
8459154098,2015-02-11 20:37:40,562.00,173.00,0.00,0.00,A【单品促销优惠（1031808396）：139.00】【单品促销优惠（1038291460）：89.00】【单品促销优惠（1031827952）：111.00】【店铺优惠:50.00】,完成,销售订单,
